ラッキーセブン	lucky seventh (inning)
リパブリック	republic
かけはし	ladder
こうこうせい	senior high school student
きぞう	Gui Cang (Yin-period method of Chinese divination)
かいじょう	factorial
かいりつ	(religious) precept
こくみんふくししひょう	net national welfare
とやま	nearby mountain
バジル	basil
みところぜめ	triple attack force out
いりょうひ	medical expenses
うんだめし	trying one's luck
カチューシャ	Katyusha
かいけつびょう	scurvy
くだけなみ	breaker
バスタブ	bathtub
ひきあみ	dragnet
こしぶくろ	sack used to filter liquids (e.g. drinking water, etc.)
こけ	scale (of fish, snake, etc.)
パイロメーター	pyrometer
のんだくれ	drunkard
あんに	implicitly
ぐそく	(one's) son
かくだいかいしゃく	broad interpretation
けんもつ	offering (to a shogun, emperor, daimyo, kami or Buddha)
ふところがたな	dagger
さんすくみ	three-way deadlock
しごと	work
げっかひょうじん	go-between
いんりょく	attraction (e.g. magnetic, gravitation)
ぎんよう	thin sheet of silver
あら	coarse
こくじはん	political offence
あしゅらどう	Asura realm
ぎんばん	skating rink
あんけんさつ	unpropitious direction
ワットマンし	Whatman paper
きんりょくせき	chrysoberyl
ジャッジメント	judgement
リトル	little
けんかしょくぶつ	phanerogam
きさく	ruse
きさま	you
じゅうにがつ	December
ウィジウィグ	what you see is what you get
カネロニ	cannelloni
しおまめ	salted beans
パンクロマチックフィルム	panchromatic film
かぎのて	right-angled bend
げねつやく	antipyretic
こてんげいのう	classical theatre
あかんたい	subarctic zone
がいひょう	general view
かりどの	temporary shrine (houses the object in which the deity resides when main shrine is under repairs)
えいけつ	great person
しつくす	to leave nothing undone
やどかり	hermit crab
けわい	make-up
ぎょぎょうせんかんすいいき	exclusive fishing zone
けっしょうばん	platelet
ナイチンゲール	nightingale (Luscinia megarhynchos)
いどうせいこうきあつ	migratory anticyclone
がいしゅう	outer circumference
パッド	pad
こうざん	high mountain
しげきせい	irritativeness
リラックス	relaxing
さんめんきじ	human-interest article
くほん	nine levels of Amitabha's Pure Land
シチュエーション	situation
かすいぶんかいこうそ	hydrolytic enzyme
せいろ	righteousness
エコノミー	economy
ぎんぷん	silver powder
かこみきじ	(newspaper) column
あこやがい	Marten's pearl oyster (Pinctada fucata martensii)
かにざ	Cancer (constellation)
ぎんぽ	tidepool gunnel (Pholis nebulosa)
ぎょぎょうきょうてい	fisheries agreement
スカッシュ	squash (drink)
きない	Kinai (the five provinces in the immediate vicinity of Kyoto)
ミリタリスト	militarist
ジャブ	jab (esp. in boxing)
かっぺ	hick
イーエスピー	extrasensory perception
ヘアリキッド	hair styling liquid (for men)
エル	L
インパネ	instrument panel
ペテンし	swindler
しきる	to do ... incessantly
ハズ	husband
げんざいかんりょう	present perfect tense
ファンコイルユニット	fan coil unit
ごたぶん	common
ブレークダウン	breakdown
ここかしこ	here and there
かす	to lend
シック	piece of fabric sewn into the crotch of a garment to reinforce it
オープンセット	open set
さあ	come (on)
あですがた	charming figure
ワーク	work
アールエッチしきけつえきがた	Rh blood type
サンクチュアリー	sanctuary
えいぎょうぶ	sales department
パニックしょうがい	panic disorder
ぎょたく	ink rubbing of a fish
すきやき	sukiyaki
いっこくせんきん	every moment is precious
ヘッド	head
おしむぎ	rolled barley
シャフト	shaft (e.g. machinery)
シェリーしゅ	sherry
パブリックドメインソフトウエア	public-domain software
まぜかえす	to stir well
さめざや	sharkskin scabbard
ひとりでんか	being the sole master of the situation
ゼロクーポンさい	zero coupon loan
ショービジネス	show business
そとむそう	outer-thigh-propping twist down
うつりぎ	fickle
みまわり	patrolling
ぎんざ	Ginza (Tokyo neighborhood)
ウエスタングリップ	Western grip (tennis)
かこん	root of an evil
ワットけい	wattmeter
ゼラニウム	geranium (usu. a cultivated pelargonium)
バトラー	butler
がいぶけいざい	external economies
いちべついらい	since our last meeting
ようきん	public money
トボガン	toboggan
しかくちゅう	quadrangular prism
かくはん	agitation
めぐる	to go around
うんが	(navigable) canal
データ	data
かいしゃ	becoming well-known
チェーン	chain (bicycle, measuring, tire, etc.)
ざひょうじく	coordinate axis
きじゅつぶんぽう	descriptive grammar
かぎまわる	to sniff around
プーリー	pulley
たばこや	tobacconist
ゼントルマン	gentleman
タラップ	gangway
こうじょうしん	ambition
ジャミング	jamming
たとえ	example
つくもがみ	artifact spirit
ジャスミンちゃ	jasmine tea
いりょうかご	medical malpractice
サピアウォーフのかせつ	Sapir-Whorf hypothesis
それにしても	nevertheless
さっちょう	Satsuma and Chōshū (clan alliance)
エイズ	acquired immune deficiency syndrome
むべ	Japanese staunton-vine (Stauntonia hexaphylla)
こくぼうかいぎ	(Japanese) National Defense Council (1956-86) (Defence)
ぎんよく	silvery wings
きさつ	your letter
かくたい	object
ながなが	for a long time
くわり	demarcation
さしつかえない	(having) no objection
スパイシースパイス	spicy spice
かききえる	to disappear
やどりぎ	mistletoe (esp. European mistletoe, Viscum album)
こうせい	unparalleled
おしくらべ	children's game in which (at least three) people stand back to back to each other and shove vigorously backwards
ごぜんかいぎ	Imperial Council
くしゃくにけん	(tiny) house about nine feet wide and 12 feet deep
ウッディー	woody
ワードプロセッサー	word processor
ねなし	rootless
してかぶ	speculative stock
かいはん	publishing (esp. using woodblock printing)
ぞろり	all together in a line
じゃあじゃあ	noisily (of water gushing, pouring, spilling, splashing, spraying, etc.)
ジェー	J
くちだっしゃ	eloquent
つぶしあん	slightly crushed sweetened red-bean paste
アップ	upstairs
プログラムげんご	programming language
かいけいか	accounts section
ソークワクチン	Salk vaccine
しおだし	desalinating with water
かけあい	negotiations
かきこむ	to bolt down (food)
